timeStamp,eventType,isMouse,klmId,argument
1622047442.011302,mouseMove,True,Px,DEL
1622047442.0175588,task_started,,,3
1622047442.5522206,keyStroke,False,k,(
1622047443.1347733,keyStroke,False,k,3
1622047443.4730756,keyStroke,False,k,*
1622047443.989162,keyStroke,False,k,3
1622047444.803201,keyStroke,False,k,+
1622047445.2195396,keyStroke,False,k,4
1622047445.669766,keyStroke,False,k,*
1622047446.3472543,keyStroke,False,k,4
1622047446.7766807,keyStroke,False,k,)
1622047447.7517982,keyStroke,False,k,*
1622047448.09737,keyStroke,False,k,1
1622047448.2638583,keyStroke,False,k,5
1622047448.90222,keyStroke,False,k,.
1622047449.076114,keyStroke,False,k,2
1622047450.4760506,keyStroke,False,k,=
1622047450.4814317,task_finished,,,3
1622047454.1016881,mouseMove,True,Px,DEL
1622047454.109238,task_started,,,0
1622047454.3164542,mouseMove,True,Px,)
1622047454.3512087,mouseMove,True,Px,(
1622047454.427195,mouseMove,True,Px,1
1622047454.6767075,mouseMove,True,Px,1
1622047454.8292203,mouseClick,True,B,1
1622047455.0264914,mouseMove,True,Px,4
1622047455.0500517,mouseMove,True,Px,5
1622047455.2184405,mouseMove,True,Px,9
1622047455.4643164,mouseMove,True,Px,+
1622047455.725075,mouseClick,True,B,+
1622047455.8365862,mouseMove,True,Px,-
1622047455.8629494,mouseMove,True,Px,9
1622047455.8785439,mouseMove,True,Px,8
1622047456.0327718,mouseMove,True,Px,5
1622047456.160342,mouseMove,True,Px,2
1622047456.4653425,mouseClick,True,B,2
1622047456.553672,mouseMove,True,Px,5
1622047456.6146245,mouseMove,True,Px,9
1622047456.752909,mouseMove,True,Px,+
1622047457.0033221,mouseClick,True,B,+
1622047457.1105285,mouseMove,True,Px,9
1622047457.1729193,mouseMove,True,Px,6
1622047457.3366635,mouseMove,True,Px,3
1622047457.65628,mouseClick,True,B,3
1622047457.7102993,mouseMove,True,Px,6
1622047457.760517,mouseMove,True,Px,9
1622047457.8385954,mouseMove,True,Px,+
1622047458.0511045,mouseClick,True,B,+
1622047458.1537309,mouseMove,True,Px,9
1622047458.2111096,mouseMove,True,Px,8
1622047458.2245193,mouseMove,True,Px,5
1622047458.343285,mouseMove,True,Px,4
1622047458.6758754,mouseClick,True,B,4
1622047458.7490351,mouseMove,True,Px,5
1622047458.7964365,mouseMove,True,Px,8
1622047458.8601024,mouseMove,True,Px,9
1622047458.9447706,mouseMove,True,Px,+
1622047459.2090278,mouseClick,True,B,+
1622047459.2947078,mouseMove,True,Px,-
1622047459.3285625,mouseMove,True,Px,9
1622047459.3463988,mouseMove,True,Px,8
1622047459.3985896,mouseMove,True,Px,5
1622047459.6738513,mouseClick,True,B,5
1622047459.7264924,mouseMove,True,Px,8
1622047459.7709007,mouseMove,True,Px,9
1622047459.81358,mouseMove,True,Px,+
1622047460.0891302,mouseClick,True,B,+
1622047460.1799622,mouseMove,True,Px,9
1622047460.2488813,mouseMove,True,Px,6
1622047460.4916043,mouseClick,True,B,6
1622047460.5244584,mouseMove,True,Px,9
1622047460.6106973,mouseMove,True,Px,+
1622047460.8247774,mouseClick,True,B,+
1622047460.8963141,mouseMove,True,Px,-
1622047460.9265335,mouseMove,True,Px,9
1622047460.9392116,mouseMove,True,Px,8
1622047461.0324771,mouseMove,True,Px,7
1622047461.4176548,mouseClick,True,B,7
1622047461.4504588,mouseMove,True,Px,8
1622047461.5685503,mouseMove,True,Px,-
1622047461.6244395,mouseMove,True,Px,+
1622047461.89538,mouseClick,True,B,+
