timeStamp,eventType,isMouse,klmId,button
1621980806.1100793,mouseMove,True,Px,7
1621980812.0469785,mouseMove,True,Px,8
1621980812.213955,mouseMove,True,Px,9
1621980812.550544,mouseClick,True,B,9
1621980813.995771,mouseMove,True,Px,5
1621980814.143972,mouseMove,True,Px,4
1621980814.1780078,mouseMove,True,Px,1
1621980814.6343977,mouseClick,True,B,1
1621980816.1650481,mouseMove,True,Px,5
1621980816.2217429,mouseMove,True,Px,8
1621980816.3398888,mouseMove,True,Px,-
1621980816.7435765,mouseClick,True,B,-
1621980818.2444458,mouseMove,True,Px,8
1621980818.284038,mouseMove,True,Px,9
1621980818.291242,mouseMove,True,Px,6
1621980818.3329031,mouseMove,True,Px,3
1621980820.8387277,mouseMove,True,Px,2
1621980820.9548953,mouseMove,True,Px,1
1621980823.3056762,mouseMove,True,Px,4
1621980823.408341,mouseMove,True,Px,5
1621980823.4468954,mouseMove,True,Px,8
1621980823.5863967,mouseMove,True,Px,-
1621980823.6293347,mouseMove,True,Px,+
1621980823.772436,mouseClick,True,B,+
1621980824.9646719,mouseMove,True,Px,9
1621980824.978139,mouseMove,True,Px,8
1621980824.9928775,mouseMove,True,Px,5
1621980825.0303128,mouseMove,True,Px,2
1621980825.0787952,mouseMove,True,Px,1
1621980825.1128407,mouseMove,True,Px,0
1621980825.2820897,mouseClick,True,B,0
1621980826.2672575,mouseMove,True,Px,1
1621980826.3146617,mouseMove,True,Px,5
1621980826.3645852,mouseMove,True,Px,8
1621980826.5222433,mouseClick,True,B,8
1621980827.9290793,mouseMove,True,Px,5
1621980827.9748242,mouseMove,True,Px,2
1621980828.1701882,mouseClick,True,B,2
1621980829.6256647,mouseMove,True,Px,5
1621980829.6629148,mouseMove,True,Px,9
1621980829.7770865,mouseMove,True,Px,+
1621980829.9852982,mouseClick,True,B,+
1621980831.0584185,mouseMove,True,Px,-
1621980831.1277118,mouseMove,True,Px,8
1621980831.2309623,mouseMove,True,Px,7
1621980831.408382,mouseClick,True,B,7
1621980832.867293,mouseMove,True,Px,5
1621980833.0133893,mouseClick,True,B,5
1621980834.261447,mouseMove,True,Px,2
1621980834.3097894,mouseMove,True,Px,.
1621980834.3720195,mouseMove,True,Px,=
1621980834.5402818,mouseClick,True,B,=
1621980836.7767925,mouseMove,True,Px,.
1621980836.7967303,mouseMove,True,Px,2
1621980836.8116014,mouseMove,True,Px,5
1621980836.8438582,mouseMove,True,Px,8
1621980837.227765,mouseMove,True,Px,*
1621980837.3483884,mouseClick,True,B,*
1621980839.9923737,mouseMove,True,Px,8
1621980840.0222309,mouseMove,True,Px,5
1621980840.1311238,mouseMove,True,Px,2
1621980840.26456,mouseMove,True,Px,.
1621980840.3289557,mouseMove,True,Px,1
1621980840.3757083,mouseMove,True,Px,4
1621980840.4257154,mouseMove,True,Px,7
1621980840.524079,mouseMove,True,Px,8
1621980840.6792457,mouseMove,True,Px,9
1621980840.8332973,mouseMove,True,Px,+
1621980840.9157453,mouseMove,True,Px,-
1621980841.032607,mouseMove,True,Px,8
1621980841.1275706,mouseMove,True,Px,5
1621980841.2696228,mouseMove,True,Px,1
1621980842.5438092,mouseMove,True,Px,1
1621980842.6258252,mouseMove,True,Px,.
1621980842.7111804,mouseMove,True,Px,2
1621980842.836965,mouseMove,True,Px,3
1621980842.8871994,mouseMove,True,Px,6
1621980842.986332,mouseMove,True,Px,9
1621980843.19255,mouseClick,True,B,9
1621980843.8457146,mouseMove,True,Px,8
1621980844.0687516,mouseMove,True,Px,7
1621980844.2771213,mouseClick,True,B,7
1621980844.555598,mouseMove,True,Px,4
1621980845.0653896,mouseClick,True,B,4
1621980846.497326,mouseMove,True,Px,5
1621980846.6011853,mouseMove,True,Px,6
1621980846.8082025,mouseClick,True,B,6
