timeStamp,eventType,isMouse,klmId,button
1621980081.1143413,mouseMove,True,Px,4
1621980085.7885346,mouseMove,True,Px,2
1621980085.8646607,mouseMove,True,Px,3
1621980086.0263443,mouseMove,True,Px,6
1621980086.357859,mouseClick,True,B,6
1621980086.9704401,keyStroke,False,k,6
1621980123.312519,keyStroke,False,k,5
1621980124.4454272,mouseMove,True,Px,5
1621980127.6057758,mouseMove,True,Px,8
1621980128.048013,mouseClick,True,B,8
1621980128.6316717,keyStroke,False,k,9
1621980131.3918433,keyStroke,False,k,9
1621980132.256378,mouseMove,True,Px,9
1621980132.3889282,mouseClick,True,B,9
1621980134.8166049,mouseMove,True,Px,8
1621980135.1143336,mouseMove,True,Px,7
1621980135.5424838,mouseMove,True,Px,*
1621980135.9058619,mouseClick,True,B,*
1621980136.5718105,keyStroke,False,k,8
1621980140.2759798,keyStroke,False,k,5
1621980140.895612,mouseMove,True,Px,-
1621980140.9273353,mouseMove,True,Px,+
1621980141.2316997,mouseClick,True,B,+
1621980141.74671,mouseMove,True,Px,9
1621980143.2138724,mouseMove,True,Px,6
1621980143.5266998,mouseClick,True,B,6
1621980144.0308254,keyStroke,False,k,4
1621980145.2349281,keyStroke,False,k,4
1621980145.8224983,mouseMove,True,Px,9
1621980145.993188,mouseMove,True,Px,9
1621980146.236868,mouseClick,True,B,9
1621980146.4609978,mouseMove,True,Px,6
1621980146.5171437,mouseMove,True,Px,5
1621980146.556016,mouseMove,True,Px,2
1621980147.3423095,mouseMove,True,Px,5
1621980147.4191191,mouseMove,True,Px,9
1621980147.504379,mouseMove,True,Px,+
1621980149.740885,mouseClick,True,B,+
1621980150.2869081,keyStroke,False,k,3
1621980152.2470772,keyStroke,False,k,3
1621980152.8728364,mouseClick,True,B,+
1621980153.1348054,mouseMove,True,Px,-
1621980153.3240461,mouseClick,True,B,-
1621980153.4695158,mouseMove,True,Px,8
1621980154.979887,mouseClick,True,B,8
1621980155.5467849,keyStroke,False,k,4
1621980161.1534886,keyStroke,False,k,7
1621980161.9958918,mouseMove,True,Px,9
1621980162.8055406,mouseMove,True,Px,6
1621980163.2137847,mouseMove,True,Px,3
1621980164.3573656,mouseMove,True,Px,.
1621980165.6596892,mouseMove,True,Px,0
1621980165.844177,mouseMove,True,Px,1
1621980166.2132218,mouseMove,True,Px,2
1621980166.2572188,mouseMove,True,Px,5
1621980166.3352897,mouseMove,True,Px,8
1621980166.386436,mouseMove,True,Px,-
1621980166.4035704,mouseMove,True,Px,+
