timeStamp,eventType,isMouse,klmId,button
1621979762.4259536,mouseMove,True,Px,1
1621979768.4550688,mouseClick,True,B,1
1621979768.6262982,mouseMove,True,Px,2
1621979768.6886404,mouseMove,True,Px,5
1621979768.7175875,mouseMove,True,Px,6
1621979768.8100905,mouseMove,True,Px,9
1621979768.9779048,mouseMove,True,Px,+
1621979769.2721033,mouseClick,True,B,+
1621979769.9762292,mouseMove,True,Px,9
1621979770.5476887,mouseClick,True,B,9
1621979789.3421063,mouseClick,True,B,9
1621979789.628069,mouseMove,True,Px,6
1621979789.669376,mouseMove,True,Px,5
1621979789.7076793,mouseMove,True,Px,2
1621979790.026051,mouseClick,True,B,2
1621979790.335453,mouseMove,True,Px,5
1621979790.5397534,mouseMove,True,Px,8
1621979790.6820338,mouseMove,True,Px,*
1621979791.0150936,mouseClick,True,B,*
1621979791.1670735,mouseMove,True,Px,8
1621979791.270601,mouseMove,True,Px,5
1621979791.347987,mouseMove,True,Px,6
1621979791.8630328,mouseClick,True,B,6
1621979794.4550695,mouseMove,True,Px,3
1621979795.3177626,mouseMove,True,Px,=
1621979795.9303288,mouseMove,True,Px,DEL
1621979796.2523725,mouseMove,True,Px,Clear
1621979796.8735142,mouseMove,True,Px,.
1621979797.5576286,mouseMove,True,Px,2
1621979797.7901087,mouseMove,True,Px,5
1621979798.051551,mouseMove,True,Px,8
1621979799.205964,mouseClick,True,B,8
1621979799.2807612,mouseMove,True,Px,5
1621979799.3474226,mouseMove,True,Px,2
1621979799.4472961,mouseMove,True,Px,0
1621979799.658975,mouseClick,True,B,0
1621979799.7994034,mouseMove,True,Px,2
1621979799.8941069,mouseMove,True,Px,5
1621979799.9220452,mouseMove,True,Px,9
1621979800.020325,mouseMove,True,Px,+
1621979800.2297227,mouseClick,True,B,+
1621979800.3314106,mouseMove,True,Px,9
1621979800.6395154,mouseMove,True,Px,9
1621979800.8131306,mouseClick,True,B,9
1621979800.88525,mouseMove,True,Px,6
1621979800.947089,mouseMove,True,Px,3
1621979800.9856012,mouseMove,True,Px,2
1621979801.0236232,mouseMove,True,Px,.
1621979801.3084116,mouseMove,True,Px,0
1621979801.5830407,mouseClick,True,B,0
1621979801.8359275,mouseMove,True,Px,DEL
1621979802.131815,mouseMove,True,Px,=
1621979805.2614136,mouseMove,True,Px,3
1621979805.2857046,mouseMove,True,Px,6
1621979805.3079586,mouseMove,True,Px,9
1621979805.3397338,mouseMove,True,Px,+
1621979805.8250015,mouseMove,True,Px,+
1621979805.9055085,mouseMove,True,Px,9
1621979806.0134735,mouseMove,True,Px,+
1621979817.73267,mouseMove,True,Px,0
1621979817.8264344,mouseMove,True,Px,1
1621979817.850026,mouseMove,True,Px,2
1621979818.0185382,mouseMove,True,Px,5
1621979818.1494725,mouseMove,True,Px,8
1621979819.8799453,mouseClick,True,B,8
1621979819.9894679,mouseMove,True,Px,5
1621979820.1034513,mouseMove,True,Px,2
1621979820.3431368,mouseClick,True,B,2
1621979820.7180903,mouseMove,True,Px,1
1621979820.9167867,mouseMove,True,Px,0
1621979821.4595716,mouseMove,True,Px,1
1621979821.5414207,mouseMove,True,Px,2
1621979821.5916748,mouseMove,True,Px,5
1621979821.6596258,mouseMove,True,Px,8
1621979821.8578253,mouseMove,True,Px,*
1621979821.863427,mouseMove,True,Px,/
1621979822.2078989,mouseClick,True,B,/
1621979822.373709,mouseMove,True,Px,7
1621979822.4294443,mouseMove,True,Px,4
